complaint_id,fraud_timestamp,filed_at,victim_pin,victim_district,victim_state,fraud_type,amount_defrauded,bank_mentioned,complaint_text,status,ncrb_motive_total,ncrb_hist_total_2019_2021,ncrb_trend_2019_2021,ncrb_crime_rate_2022,ncrb_chargesheet_rate_2022
COMP-2024-00000,2024-11-18 20:00:00,2024-11-18 22:40:00,189318,Amritsar,Punjab,UPI_FRAUD,7939.61,IDBI,"I, Sunita Verma, received a UPI collect request I did not recognise and Rs 7,940 was debited from my IDBI account without my authorisation.",UNDER_INVESTIGATION,102.0,31.0,0.5,142.9,66.4
COMP-2024-00001,2024-03-21 08:00:00,2024-03-21 10:34:00,134225,Kurnool,Andhra Pradesh,KYC_SCAM,12806.29,CANARA,"I got a call saying my CANARA KYC will expire and after sharing OTP Rs 12,806 was withdrawn. This is Sunita Singh reporting the incident.",UNDER_INVESTIGATION,616.0,111.0,0.3235294117647059,299.0,86.5
COMP-2024-00002,2024-09-13 18:00:00,2024-09-13 18:25:00,553014,Shimla,Himachal Pradesh,LOAN_SCAM,5410.19,IDBI,"I, Kavita Patel, was asked to pay a processing fee of Rs 5,410 through IDBI for an instant loan app that never disbursed any loan.",FILED,31.0,0.0,0.0,177.8,82.9
COMP-2024-00003,2024-06-27 16:00:00,2024-06-27 18:53:00,531641,Bengaluru Urban,Karnataka,UPI_FRAUD,75599.62,ICICI,"I, Kavita Nair, received a UPI collect request I did not recognise and Rs 75,600 was debited from my ICICI account without my authorisation.",UNDER_INVESTIGATION,1101.0,0.0,0.0,192.1,78.3
COMP-2024-00004,2024-05-16 18:00:00,2024-05-17 01:35:00,832168,Varanasi,Uttar Pradesh,UPI_FRAUD,16986.28,CANARA,"I, Neha Verma, received a UPI collect request I did not recognise and Rs 16,986 was debited from my CANARA account without my authorisation.",CLOSED,2639.0,123.0,-0.45098039215686275,171.6,76.1
COMP-2024-00005,2024-08-21 18:00:00,2024-08-21 22:25:00,882544,East Sikkim,Sikkim,KYC_SCAM,2057.27,IDBI,"I got a call saying my IDBI KYC will expire and after sharing OTP Rs 2,057 was withdrawn. This is Sanjay Reddy reporting the incident.",FILED,1.0,0.0,0.0,80.3,55.5
COMP-2024-00006,2024-04-29 22:00:00,2024-04-30 04:06:00,950823,Jamshedpur (East Singhbhum),Jharkhand,KYC_SCAM,48124.53,CANARA,"I got a call saying my CANARA KYC will expire and after sharing OTP Rs 48,125 was withdrawn. This is Ravi Gupta reporting the incident.",UNDER_INVESTIGATION,259.0,28.0,-0.45454545454545453,124.5,58.2
COMP-2024-00007,2024-05-15 15:00:00,2024-05-15 22:21:00,444525,Haridwar,Uttarakhand,OTP_FRAUD,12455.41,HDFC,"Someone called claiming to be from HDFC and asked for my OTP, after which Rs 12,455 was transferred out of my account. Complainant: Deepa Kumar.",CLOSED,62.0,18.0,-0.5,146.8,71.5
COMP-2024-00008,2024-03-15 11:00:00,2024-03-15 12:34:00,182804,Gaya,Bihar,KYC_SCAM,17770.26,ICICI,"I got a call saying my ICICI KYC will expire and after sharing OTP Rs 17,770 was withdrawn. This is Pooja Gupta reporting the incident.",UNDER_INVESTIGATION,309.0,5.0,-0.6666666666666666,168.1,75.4
COMP-2024-00009,2024-05-01 16:00:00,2024-05-01 16:16:00,970357,South Goa,Goa,OTP_FRAUD,22818.5,PNB,"Someone called claiming to be from PNB and asked for my OTP, after which Rs 22,818 was transferred out of my account. Complainant: Manoj Gupta.",FILED,31.0,0.0,0.0,172.8,75.9
